Area_Type,Availability,Location,Size,Society Name,Total_Sqft,No of Bathroom,No of Balcony,Price in Lakhs,Price per sqft
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2,1,39.07,3700
Plot  Area,Ready To Move,Chikka Tirupathi,4 BHK,Theanmp,2600,5,3,120,4615
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1440,2,3,62,4306
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3,1,95,6246
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1200,2,1,51,4250
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2,1,38,3248
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4,,204,7467
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4,,600,18182
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1310,3,1,63.25,4828
Plot  Area,Ready To Move,Gandhi Bazar,6 BHK,,1020,6,,370,36275
Super built-up  Area,18-Feb,Whitefield,3 BHK,,1800,2,2,70,3889
Plot  Area,Ready To Move,Whitefield,4 BHK,Prrry M,2785,5,3,295,10592
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2,1,38,3800
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1100,2,2,40,3636
Plot  Area,Ready To Move,Sarjapur,3 BHK,Skityer,2250,3,2,148,6578
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2,2,73.5,6255
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3,2,48,4068
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3,3,60,3896
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4,2,290,10469
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1100,2,2,48,4364
Built-up  Area,Ready To Move,Kengeri,1 BHK,,600,1,1,15,2500
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3,1,122,6952
Plot  Area,Ready To Move,Thanisandra,4 BHK,Soitya ,2800,5,2,380,13571
Super built-up  Area,Ready To Move,Bellandur,3 BHK,,1767,3,1,103,5829
Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,1,0,25.25,4951
Super built-up  Area,18-May,Mangammanapalya,3 BHK,,1250,3,2,56,4480
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1,1,23.1,3500
Built-up  Area,20-Dec,Whitefield,3 BHK,,1610,3,2,81,5031
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2,2,48.77,4237
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2,1,47,4585
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,35,3256
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2,2,123,6989
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3,3,57.39,3390
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3,,125,6494
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2,1,36,5143
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1070,2,1,45.5,4252
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3,2,125,7251
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1290,2,2,56.12,4350
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1143,2,2,45,3937
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2,,81,6250
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3,2,38,3030
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1,0,38,6333
Plot  Area,Ready To Move,Yelahanka,1 BHK,,660,1,0,48,7273
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2,2,91.79,6898
Plot  Area,Ready To Move,HSR Layout,8 BHK,,600,9,,200,33333
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2,0,33,3402
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2,1,94.82,6499
Plot  Area,Ready To Move,KR Puram,2 BHK,,800,1,1,130,16250
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,,869,2,1,36,4143
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2,1,50,3937
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,3,1,99,5928
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3,2,91,4527
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2,2,75,6329
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2,3,75,4688
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2,2,44,3667
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2,2,185,12333
Plot  Area,Ready To Move,Murugeshpalya,6 BHK,,1407,4,1,150,10661
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,,840,2,2,45,5357
Plot  Area,Ready To Move,Tharabanahalli,3 BHK,,4395,3,2,240,5461
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2,1,55,6509
Plot  Area,Ready To Move,Whitefield,4 BHK,Chranya,5700,5,3,650,11404
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2,2,44,3793
Built-up  Area,Ready To Move,Bommanahalli,8 BHK,,3000,8,0,140,4667
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,,1100,2,1,62,5636
